Timestamp,Pass,Role,Partnered
2018-01-28 16:48:59,PARTY,Follow,t
2018-01-28 16:50:21,PARTY,Lead,t
2018-01-28 16:59:58,FULL,Follow,f
2018-01-28 17:00:03,FULL,Follow,f
2018-01-28 17:00:12,FULL,Follow,f
2018-01-28 17:00:40,FULL,Follow,f
2018-01-28 17:00:57,FULL,Follow,f
2018-01-28 17:01:06,FULL,Follow,f
2018-01-28 17:01:09,FULL,Follow,t
2018-01-28 17:01:24,PARTY,Follow,f
2018-01-28 17:01:28,FULL,Follow,t
2018-01-28 17:01:56,FULL,Follow,f
2018-01-28 17:01:59,PARTY,Follow,f
2018-01-28 17:02:11,PARTY,Follow,t
2018-01-28 17:02:53,FULL,Follow,f
2018-01-28 17:03:30,PARTY,Lead,t
2018-01-28 17:03:59,FULL,Follow,f
2018-01-28 17:04:12,FULL,Lead,t
2018-01-28 17:04:22,FULL,Lead,t
2018-01-28 17:04:45,FULL,Follow,f
2018-01-28 17:04:49,FULL,Lead,f
2018-01-28 17:04:58,FULL,Follow,t
2018-01-28 17:05:16,FULL,Follow,t
2018-01-28 17:05:22,FULL,Lead,t
2018-01-28 17:08:45,FULL,Lead,t
2018-01-28 17:09:45,FULL,Follow,t
2018-01-28 17:13:15,FULL,Follow,t
2018-01-28 17:20:10,FULL,Follow,f
2018-01-28 17:20:47,FULL,Lead,t
2018-01-28 17:23:05,FULL,Follow,t
2018-01-28 17:23:38,FULL,Follow,t
2018-01-28 17:24:27,FULL,Follow,f
2018-01-28 17:24:51,FULL,Follow,f
2018-01-28 17:26:14,FULL,Lead,t
2018-01-28 17:28:47,PARTY,Follow,f
2018-01-28 17:37:47,FULL,Follow,f
2018-01-28 17:43:03,FULL,Follow,f
2018-01-28 17:44:55,FULL,Lead,t
2018-01-28 17:46:06,FULL,Follow,t
2018-01-28 17:48:54,FULL,Follow,f
2018-01-28 17:50:18,FULL,Follow,t
2018-01-28 17:50:24,FULL,Follow,f
2018-01-28 17:50:34,PARTY,Follow,f
2018-01-28 17:52:08,FULL,Follow,f
2018-01-28 17:57:38,FULL,Lead,t
2018-01-28 18:00:21,FULL,Follow,t
2018-01-28 18:02:21,FULL,Follow,f
2018-01-28 18:09:34,PARTY,Lead,f
2018-01-28 18:13:46,PARTY,Follow,f
2018-01-28 18:18:26,FULL,Follow,f
2018-01-28 18:39:26,FULL,Lead,t
2018-01-28 18:39:34,FULL,Follow,f
2018-01-28 18:51:27,FULL,Follow,t
2018-01-28 18:53:15,FULL,Follow,f
2018-01-28 18:54:12,FULL,Lead,t
2018-01-28 19:17:08,FULL,Follow,f
2018-01-28 19:31:15,FULL,Follow,f
2018-01-28 19:44:45,PARTY,Follow,f
2018-01-28 20:15:42,FULL,Follow,t
2018-01-28 20:16:12,FULL,Lead,t
2018-01-28 20:41:25,FULL,Follow,f
2018-01-28 20:59:21,FULL,Follow,f
2018-01-28 21:03:00,FULL,Lead,t
2018-01-28 21:04:24,FULL,Follow,t
2018-01-28 21:32:45,PARTY,Follow,t
2018-01-28 22:10:08,FULL,Follow,f
2018-01-28 22:23:35,PARTY,Follow,f
2018-01-28 22:42:57,PARTY,Follow,f
2018-01-28 23:38:52,FULL,Lead,t
2018-01-28 23:44:07,FULL,Follow,t
2018-01-28 23:46:34,FULL,Lead,t
2018-01-29 00:08:51,FULL,Follow,f
2018-01-29 00:24:52,PARTY,Follow,f
2018-01-29 01:28:07,PARTY,Lead,f
2018-01-29 10:46:13,FULL,Follow,f
2018-01-29 11:18:39,FULL,Follow,f
2018-01-29 11:34:18,FULL,Follow,f
2018-01-29 11:42:15,FULL,Lead,t
2018-01-29 11:42:31,FULL,Lead,t
2018-01-29 11:43:25,FULL,Follow,t
2018-01-29 13:32:50,PARTY,Follow,f
2018-01-29 14:25:27,PARTY,Follow,f
2018-01-29 18:04:12,FULL,Lead,f
2018-01-29 18:44:27,FULL,Lead,t
2018-01-29 18:52:12,FULL,Follow,f
2018-01-29 21:29:19,PARTY,Follow,t
2018-01-29 21:30:14,PARTY,Lead,t
2018-01-30 18:37:57,FULL,Lead,t
2018-01-30 19:05:28,FULL,Follow,t
2018-01-31 13:45:37,FULL,Follow,f
2018-01-31 18:43:05,FULL,Follow,f
2018-01-31 22:59:43,FULL,Follow,f
2018-02-01 11:39:00,FULL,Lead,t
2018-02-02 01:50:55,FULL,Lead,t
2018-02-02 13:25:54,FULL,Lead,t
2018-02-03 10:55:33,FULL,Lead,t
2018-02-05 20:38:36,PARTY,Follow,f
2018-02-06 23:11:53,FULL,Follow,t
2018-02-07 16:33:43,FULL,Follow,t
2018-02-09 00:12:23,FULL,Follow,f
2018-02-10 12:25:50,FULL,Lead,t
2018-02-10 12:27:02,FULL,Follow,t
2018-02-10 20:07:10,FULL,Lead,t
2018-02-10 20:08:11,FULL,Follow,t
2018-02-11 15:10:14,PARTY,Follow,f
2018-02-11 22:26:36,PARTY,Follow,f
2018-02-12 00:23:05,FULL,Follow,f
2018-02-12 14:36:54,FULL,Follow,t
2018-02-12 14:38:22,FULL,Lead,t
2018-02-12 18:52:59,FULL,Lead,t
2018-02-12 19:06:49,FULL,Follow,t
2018-02-12 20:05:53,FULL,Follow,f
2018-02-12 20:10:15,PARTY,Follow,f
2018-02-12 21:40:22,PARTY,Follow,f
2018-02-13 09:26:09,FULL,Lead,t
2018-02-13 09:26:40,FULL,Follow,t
2018-02-13 10:49:31,FULL,Follow,f
2018-02-18 20:20:02,PARTY,Lead,t
2018-02-18 20:20:48,PARTY,Follow,t
2018-02-18 21:42:28,FULL,Lead,f
2018-02-18 22:09:02,FULL,Lead,t
2018-02-19 00:37:33,FULL,Lead,f
2018-02-19 09:08:29,FULL,Follow,f
2018-02-21 09:33:22,FULL,Follow,t
2018-02-22 22:54:12,FULL,Follow,t
2018-02-22 23:08:22,PARTY,Lead,f
2018-02-23 01:13:49,FULL,Lead,t
2018-02-25 13:57:04,PARTY,Follow,f
2018-02-25 22:19:51,FULL,Follow,f
2018-02-28 11:17:03,FULL,Follow,t
2018-02-28 11:18:39,FULL,Lead,t
2018-03-02 08:30:32,FULL,Lead,t
2018-03-02 15:09:47,FULL,Lead,t
2018-03-03 11:13:47,FULL,Lead,t
2018-03-04 20:45:55,FULL,Lead,t
2018-03-06 17:30:46,FULL,Lead,t
2018-03-06 19:44:32,FULL,Follow,t
2018-03-07 13:47:42,FULL,Follow,t
2018-03-07 21:02:02,FULL,Lead,t
2018-03-07 21:02:38,FULL,Follow,f
2018-03-11 21:21:12,FULL,Follow,f
2018-03-12 22:12:49,PARTY,Lead,f
2018-03-20 21:17:18,PARTY,Follow,f
2018-03-26 17:15:42,FULL,Follow,f
2018-03-26 21:38:52,PARTY,Follow,t
2018-03-26 21:39:46,PARTY,Lead,t
2018-03-27 21:07:29,FULL,Lead,f
2018-04-03 01:09:05,FULL,Lead,f
2018-04-04 20:38:00,PARTY,Lead,t
2018-04-04 23:06:02,PARTY,Follow,t
2018-04-11 15:25:46,FULL,Lead,t
2018-04-16 23:24:52,PARTY,Follow,t
2018-04-18 13:28:50,FULL,Follow,t
2018-04-18 13:49:02,FULL,Lead,t
2018-04-18 23:13:43,PARTY,Lead,t
2018-04-19 00:36:49,PARTY,Follow,f
2018-04-22 22:07:08,FULL,Lead,f
2018-04-22 22:08:20,FULL,Lead,f
2018-04-23 17:59:58,FULL,Follow,t
2018-04-25 22:54:50,PARTY,Follow,f
2018-04-26 00:16:42,FULL,Lead,t
2018-04-26 00:18:08,FULL,Follow,t
2018-05-03 21:40:00,PARTY,Follow,f
2018-05-07 16:07:23,FULL,Lead,t
2018-05-07 16:08:02,FULL,Follow,t
2018-05-07 18:43:54,FULL,Lead,t
2018-05-07 18:44:57,FULL,Follow,t
2018-05-07 20:21:13,PARTY,Follow,f
2018-05-14 17:36:17,PARTY,Follow,t
2018-05-16 18:03:57,PARTY,Lead,t
2018-05-16 18:04:20,PARTY,Follow,t
2018-05-20 16:16:32,PARTY,Lead,t
2018-05-20 20:53:56,FULL,Follow,f
2018-05-22 13:21:48,PARTY,Lead,t
2018-05-22 13:22:25,PARTY,Follow,t
2018-05-22 18:46:01,FULL,Lead,f
2018-05-25 17:06:28,FULL,Follow,f
2018-05-31 18:45:18,FULL,Lead,f
2018-06-01 23:13:39,PARTY,Follow,t
2018-06-01 23:14:06,PARTY,Lead,t
2018-06-05 18:47:08,PARTY,Follow,t
2018-06-05 18:48:17,PARTY,Lead,t
2018-06-07 01:15:38,PARTY,Follow,f
2018-06-07 09:37:41,PARTY,Follow,f
2018-06-07 21:11:35,PARTY,Follow,f
2018-06-10 14:13:05,PARTY,Lead,f
2018-06-10 20:11:47,PARTY,Follow,t
2018-06-12 11:59:55,PARTY,Follow,f
2018-06-13 00:33:38,PARTY,Follow,f
2018-06-19 00:26:17,PARTY,Follow,f
2018-06-24 23:01:29,PARTY,Follow,f
2018-06-29 03:24:23,PARTY,Follow,f
2018-07-03 17:07:13,PARTY,Lead,t
2018-07-06 09:47:48,PARTY,Lead,f
2018-07-11 11:15:19,FULL,Lead,f
2018-07-18 08:39:16,PARTY,Follow,f
2018-07-19 21:17:22,PARTY,Follow,f
2018-07-19 21:47:59,PARTY,Follow,f
2018-07-19 23:55:15,PARTY,Follow,f
2018-07-20 11:08:59,PARTY,Follow,f
